,rmse,rmse,mae,mae,correlation,correlation
asset,SPY,TLT,SPY,TLT,SPY,TLT
model,,,,,,
ARIMA,0.0855414806393246,0.0647451650465252,0.0570323666042022,0.0489459207475779,0.4790812220906835,0.3250615566223871
Baseline,0.0853276122619881,0.0703544329406347,0.0566800556453522,0.0541159038664703,0.593339876958416,0.4322989543542567
Calibrated RF,0.0658369954431366,0.0579450976804453,0.0438444569648549,0.0431343584788291,0.7386090554393792,0.533281042861032
ETS,0.0959434358481162,0.0770718870442843,0.0630640886876546,0.0588001533743913,0.4813793567847845,0.3172901925410176
"GARCH(1,1)",0.0824196729204376,0.0590515151218692,0.0553262249714159,0.0455803690786713,0.5325303119963316,0.4585458812701745
Random Forest,0.064375490160612,0.0560547064998627,0.0424783289031789,0.0422048797133864,0.7381655457213933,0.5515764804576744
Regime-Switch,0.068478806382363,0.0579450976804453,0.044930739377952,0.0431343584788291,0.7181646181652517,0.533281042861032
Stacked (RF+GARCH),0.0643755058061113,0.0560546866146591,0.0424783271159727,0.0422048684299071,0.7381652872420257,0.5515765226708175
