asset,feature,importance
SPY,vix_level,0.3459021980661656
SPY,vol_10d,0.19432792985440778
SPY,drawdown_20d,0.0825944370648668
SPY,range_pct,0.062113253636896376
SPY,price_ma20_gap,0.055251189058988265
SPY,vix_ma5,0.04468631928485069
SPY,vol_20d,0.03944561116914085
SPY,vix_above_20,0.03684898821515144
SPY,drawdown_5d,0.026859427802269745
SPY,vix_above_25,0.021157201176281577
SPY,vol_5d,0.01867712249602996
SPY,price_ma5_gap,0.013885214459419717
SPY,vix_change_5d,0.01146014914668893
SPY,vix_change_1d,0.010134844161002835
SPY,skew_20d,0.009424507664425456
SPY,spy_tlt_corr_20d,0.00731278321564149
SPY,ret_lag3,0.003603574575162385
SPY,ret_lag1,0.003470512652818149
SPY,vol_change,0.003343290650953682
SPY,ret_lag2,0.003283172460211155
SPY,ret_lag5,0.00318069126964548
SPY,ret_lag4,0.0030375819189817563
TLT,vol_20d,0.22605132404582684
TLT,vol_5d,0.1659941439877363
TLT,vol_10d,0.16234090958270464
TLT,range_pct,0.13081393079099682
TLT,price_ma20_gap,0.04864218828298591
TLT,price_ma5_gap,0.046029363468740446
TLT,vix_level,0.04466883947451039
TLT,vix_ma5,0.030091547911077245
TLT,drawdown_20d,0.02380397221872555
TLT,drawdown_5d,0.01918273231946354
TLT,vix_change_5d,0.01652827426923792
TLT,spy_tlt_corr_20d,0.013191756354329896
TLT,skew_20d,0.013128461835724088
TLT,vix_change_1d,0.012988844376164342
TLT,vol_change,0.01188362760259821
TLT,ret_lag3,0.008408262994306527
TLT,ret_lag1,0.007852364937607752
TLT,ret_lag2,0.006129505047508479
TLT,ret_lag4,0.005393873983913051
TLT,ret_lag5,0.004708925775608781
TLT,vix_above_25,0.0016075020930271485
TLT,vix_above_20,0.0005596486472060022
